Collection Title,Institution,Library,Type of Library,Lanuages,General Format,Specific Formats,Academic Field,Subjects,Keywords,URL,Start Year,End Year,Year Range,Description,Address,Latitude,Longitude
Woodsworth Images,Lafayette College,The East Asia Image Collection,Academic,,Image,"Print, Postcard",History,Art,"Colonial-Era, Taiwan",https://ldr.lafayette.edu/collections/woodsworth-images,1918,1940,1918-1940,"These 25 prints and 18 postcards of colonial Taiwan were collected on-site by David Woodsworth (1918-2010) in the fall of 1940. Woodsworth's brother-in-law and host Donald Bews (1911-2008) was director of the McKay Memorial Hospital in Taipei from 1939 to 1941 and intimate of US Consul Gerald Warner (1907-1989). Prominent are images of Taiwan Indigenous Peoples, their artwork, architecture and natural environment. Also featured are pictures of the Sun Moon Lake resort area. Images scanned and used with the permission of Andrew Woodsworth.","710 Sullivan Rd, Easton, PA 18042",40.6985756,-75.2116403
China-Pakistan Economic Corridor,Library of Congress,Asian Division,Public ,"Chinese, English, Urdu",Text,Web Archive ,Economics,Political History,China-Pakistan Economic Corridor ,https://www.loc.gov/collections/china-pakistan-economic-corridor-2018-2021-web-archive/about-this-collection/,2018,2021,2018-2021,"The China-Pakistan Economic Corridor (CPEC) is part of China’s “One Belt, One Road (OBOR)” initiative. OBOR’s vision encompasses a geographical region that extends from the Baltics in Europe to Southeast Asia and from China to Africa. The focus of CPEC is on a series of energy and infrastructure projects.","101 Independence Ave SE, Washington, DC 20540",38.888235,-77.0071377
The Chinese Rare Book Digital Collection,Library of Congress,Asian Division,Public ,Chinese,Image,"Rare Book, Manuscript",History,"Politcal History, Social History, Georgraphy",Pre-Modern China,https://www.loc.gov/collections/chinese-rare-books/about-this-collection/,960,1795,960-1795,"The Chinese Rare Book Digital Collection draws from the 5,300 titles of Chinese rare books housed at the Asian Division of the Library of Congress. The initial online presentation includes about 1,000 digitized rare titles, and more will be accessible in following phases.","101 Independence Ave SE, Washington, DC 20540",38.888235,-77.0071377
Tibetan Oral History Archive Project,Library of Congress,Asian Division,Public ,"Chinese, Tibetan, English",Sound ,"Web Archive, Oral History, Transcript",Culture,Personal Life,Tibetan History,https://www.loc.gov/collections/tibetan-oral-history-project/about-this-collection/,1980,1981,1980-1981,The Tibetan Oral History and Archive Project (TOHAP) is a digital online web archive of oral history interviews in Tibetan and Chinese with accompanying written transcripts (in English) that documents the social and political history of modern Tibet. The interview tapes can be listened to simultaneous with reading the transcripts.,"101 Independence Ave SE, Washington, DC 20540",38.888235,-77.0071377
Werner von Boltenstern Shanghai Photograph and Negative Collection,Loyola Marymount University,William H. Hannon Library,Academic,,Image,Photograph,History,Personal Life,"Jewish Rufugees, Shanghai",https://digitalcollections.lmu.edu/collections/werner-von-boltenstern-shanghai-photograph-and-negative-collection,1937,1949,1937-1949,"The Werner von Boltenstern Shanghai Photograph and Negative Collection offers a photographic record of life in Shanghai, China, in the war-torn years from 1937 through 1949. Every-day life in the city is captured in photographs of bustling streets, school children playing, and family portraits. The greatest importance of the collection rests in its remarkable photographic documentation of the Jewish community of Shanghai, consisting mostly of Jewish refugees fleeing the Holocaust. Examples of subjects of these photographs and negatives include businesses, cultural life, living quarters, and government documents. While von Boltenster spent most of these years in Shanghai, he traveled to Taiwan and, possibly, Hong Kong as well. As a result, a small portion of the images might be of those locations","1 LMU Drive MS8200, Los Angeles, CA 90045",33.9734184,-118.4346821
Gynaecology in Traditional Chinese Medicine,McGill University,McGill Library,Academic,"Chinese, English",Image,Text,History ,Science,Traditional Chinese Medicine,https://digital.library.mcgill.ca/chinesemedicine/,618,1278,618-1278,"Gynaecology was a medical specialty that developed in China in the Tang (618-907) and Song dynasties (960-1278). It is a subject that was little studied by modern scholars until recently, even though at least 349 individual works were devoted to the topic by medical doctors over the centuries.","Grand Escalier du Mont Royal, Montagne, Ville-Marie, Montreal, Agglomeration de Montreal, Montreal (06), Quebec, H3A 1A3, Canada",45.503196,-73.575803
Ming-Qing Women's Writings,McGill University,McGill Library,Academic,Chinese ,Text,Web Archive,Women Studies,Literature,Gender Studies,http://digital.library.mcgill.ca/mingqing/,1368,1911,1368-1911,"The ""Ming and Qing Women's Works"" digital archive and database project focuses on the digitization of female works during the Ming and Qing Dynasties. This project uses innovative digital technology to preserve this precious cultural heritage and make it accessible to the next generation of scholars, researchers, and the relevant public through the Internet.","Grand Escalier du Mont Royal, Montagne, Ville-Marie, Montreal, Agglomeration de Montreal, Montreal (06), Quebec, H3A 1A3, Canada",45.503196,-73.575803
Jades in Life and Death,National Museum of Asian Art,Freer Gallery,Museum,,Images,"Photograph, Archive, Objects",Art,History,"Jade, Archaeology",https://archive.asia.si.edu/publications/jades/objects.php,-3400,1911,-3400-1911,"The exceptional quality and great breadth of the Freer and Sackler collections of ancient Chinese jades inspired this online catalogue. Its combination of museum and archaeological research with archival records and documentary images is designed to share knowledge and to encourage new study. The first three volumes are dedicated to Neolithic, Shang, and Western Zhou pieces. The fourth and final volume features works produced from the Eastern Zhou and Han dynasties.","South Main Street, Fox Point, Providence, Providence County, Rhode Island, 02912, United States of America",39.012,-74.424
The Chinese Art Collections,Nelson-Atkins Museum of Art,Nelson-Atkins Museum of Art,Museum,,Image,Painting ,History,Art,"Xu Daoning,  Li Cheng",https://www.nelson-atkins.org/collection/chinese/,400,1799,400-1799,"The Chinese art collection is one of the finest collections in the West with more than 7,000 works from every phase of China's artistic activity.","Grand Escalier du Mont Royal, Montagne, Ville-Marie, Montreal, Agglomeration de Montreal, Montreal (06), Quebec, H3A 1A3, Canada",39.045184,-94.580918
Cigarette Cards,New York Pubilic Library,George Arents Collection,Public,English,Image,Cartoon,History,Culture ,Cigarette Card ,https://digitalcollections.nypl.org/collections/cigarette-cards#/?tab=about,1850,1959,1850-1959,"This collection consists of approximately 100,000 cigarette cards from various countries, i.e. United States, Australia, Great Britain, China, South Africa, and other places, depicting actors and actresses, aircraft, art treasures, sport champions, etc.","360 Huntington Ave., Boston, Massachusetts 02115",40.753394,-73.98228
Boston's Asian American Community History,Northeastern University,Northeastern University Library,Academic,,"Image, Sound ","Poster, Photograph, Interview",Chinese Overseas,History ,Chinese Progressive Association,https://asianamericanhistory.library.northeastern.edu/,1976,2006,1976-2006,"The Boston Asian American Community History Portal is presently comprised of over 7,700 digitized items from the Chinese Progressive Association's Records. The digitization of these records was made possible by a grant won from federal Institute of Museum and Library Services through the Library Services and Technology Act administered by the Massachusetts Board of Library Commissioners. This grant made possible the digitization of 12 cubic feet of historical material, including documents, posters, photographs, negatives, and audio and videotapes, dating from 1976-2006.","1000 Oak St, Oakland, CA 94607",37.7986414,-122.2657993
Dorthea Lange Collection,Oakland Museum of California,Digital Archive Collections,Academic,,Image,Photograph,History,Daily Life,Dorothea Lange ,https://museumca.org/gallery/dorothea-lange-digital-archive-press-gallery#slide-0-field_phot_gallery-5351,1918,1965,1918-1965,"Dorothea Lange (1895–1965) was one of the most important artists of the 20th century. She documented American life with riveting, intimate photographs that captured the human face of national events. Best known for iconic images of migrant farmworkers during the Depression of the 1930s, her many other projects include photographs of urban homelessness and Japanese American citizens incarcerated during World War II. Later work addressed community displacement, the urban criminal justice system, and rural life in Europe, Asia, and Africa.","Leavitt Road, New Russia Township, Lorain County, Ohio, 44035, United States of America",41.3470714,-82.2157962
Shansi: Oberlin and Asia Digital Collection,Oberlin College,Oberlin College Library,Academic,English,Image,"Text, Photograph",History,"Education, Religion","Missionary, Social Reform, Labor",https://www2.oberlin.edu/library/digital/shansi/,1880,1950,1880-1950,"The Oberlin Shansi Memorial Association, the Oberlin College East Asian Studies Program, and the Oberlin College Archives and Library present this online digital collection that documents the activity of Oberlinians in Asia from the 1880s to the 1950s. This teaching and research collection contains materials from the Oberlin Shansi Memorial Association Records and personal paper collections, and it represents a small percentage of the total amount of materials in the College Archives that relate to the work of missionaries and Shansi Representatives in China and as well as other countries.","West Fairmount Avenue, Holmes-Foster Historical District, State College, Centre County, Pennsylvania, 16801, United States of America",40.7853821,-77.863931
Percy M. Othus collection on Chinese hydrology,Penn State University,Special Collections Library,Academic,English,Text,Transcript,History,Science,"Engineering, Yellow River",https://libraries.psu.edu/findingaids/1483.htm#aspace_5eacc50d1d9325a6008cf7e138133710,1919,1947,1919-1947,"The collection documents engineering efforts to control Chinese rivers. Following a devastating flood in 1917, the Chinese government sought help from Western experts. Documents from the years 1919 to 1923 include H. van der Veen, ""Floods in the Plain of North China: Their Causes and How to Mitigate their Effects""; transcripts and oversize plans by John Ripley Freeman pertaining to ""General Specifications for the Design and Construction of the Yellow River Bridge,"" 1920-1921; a Chinese translation of Freeman's work on controlling the Huai River, 1923; and Hubert Engels, ""The Regulation of the Hwangho,"" also 1923.","West Fairmount Avenue, Holmes-Foster Historical District, State College, Centre County, Pennsylvania, 16801, United States of America",40.7853821,-77.863931
Block Prints of the Chinese Revolution,Princeton University,Princeton University Digital Library,Academic,Chinese,Image,Print ,Art,Poltical History,Shanghai,http://pudl.princeton.edu/collections/pudl0030,1911,1950,1911-1950,Block prints that visually portray the struggle of Han Chinese versus the Manchus during the 1911 overthrow of the Qing Empire.,"1 Washington Rd, Princeton, NJ 08544",40.3474107,-74.6588157
Chinese Materials in the Cotsen Collection,Princeton University,Princeton University Digital Library,Academic,Chinese,Image,"Book, Magazine",History,Literature,"Education, Children",http://pudl.princeton.edu/collections/pudl0129,1880,1941,1880-1941,"This is a digital showcase of Chinese materials held at the Cotsen Children's Library, a major research collection of children's books and educational materials from around the world. As of 2014, Cotsen has collected fourteen thousand titles of Chinese-language materials that reflect the history of childhood, children's entertainment, and education in China. The majority of the Chinese titles were published from the late nineteenth century through the twentieth century.","1 Washington Rd, Princeton, NJ 08544",40.3474107,-74.6588157
Shadow Figures Database,Princeton University,East Asian Library,Academic,,Image,Drawing ,Art,Culture,Shadow Figure,https://library.princeton.edu/eastasian/shadowfigures/,1644,1949,1644-1949,"The East Asian Library and the Gest Collection of Princeton University is proud to have a set of over 2,000 pieces of Chinese shadow figures. Made in the Luanzhou or Leting style popular in northeast China, to all appearances during the last years of the Qing dynasty (1644-1912) or the early years of the Republican Period (1912-1949), they were acquired in the late 1920s for Guion Moore Gest (1864-1948), the founder of the Gest Collection, by his purveyor Irvin Van Gorder Gillis (1875-1948), residing in Peking. When the Gest Rare Book Collection moved from Montr?al to Princeton, a generous (and long-time anonymous) donation by Esther S. Bailey (18??-1963), former secretary of the Institute for Advanced Study, enabled these objects to remain an integral part of the Gest Collection.","1 Washington Rd, Princeton, NJ 08544",40.3474107,-74.6588157
Treasures of the East Asian Library,Princeton University,East Asian Library,Academic,Chinese,Image,"Scroll, Print, Book, Map",History,Art,Chinese Revolution,https://dpul.princeton.edu/catalog?f%5Breadonly_collections_ssim%5D%5B%5D=Treasures+of+the+East+Asian+Library&q=China&search_field=all_fields,618,1935,618-1935,"The East Asian Library collects materials in practically all subjects in Chinese, Japanese, and Korean. This digital collection highlights some of the outstanding, rare, and unique items from this collection, including books, manuscripts, maps, and albums from many eras. Languages such as Manchu or Tangut are represented too. Many of the rare items belong to the Gest Collection, the original core around which the East Asian Library was built.","1 Washington Rd, Princeton, NJ 08544",40.3474107,-74.6588157
Central China Relief Records,Rutgers University,East Asian Libraries,Academic,Chinese,"Text, Image ","Record, Photograph",History,Politcal History,World War II,https://collections.libraries.rutgers.edu/central-china-relief-records,1943,1947,1943-1947,"The Central China Relief Records, 1943-1947 at Rutgers University Libraries is a collection of office files from the UNRRA (United Nations Relief and Rehabilitation Administration) regional office in central China. UNRRA was an international agency founded in 1943 to plan, coordinate, and administer relief programs for victims of World War II in areas under the control of the United Nations (or the Allies). It was headquartered in New York City, with the United States providing most of the funding, supplies, and personnel.","Old Gibbons Drive, New Brunswick, Middlesex County, New Jersey, 08901-8528, United States of America",40.4863185,-74.4308826
The China Boom Project-A Video Archive,Rutgers University,East Asian Libraries,Academic,English,"Video, Sound, Image, Text",Interview,History,Economics,"Business, Sociology",https://collections.libraries.rutgers.edu/china-boom,2008,2010,2008-2010,"""Why did China Boom?"" Over 100 individuals provided their answers to this question in full-length videos deposited into China Boom Project Video Archive. These individuals, many of them with considerable expertise on issues related to China, were interviewed by the China Boom Project staffers of Asia Society from 2008 to 2010. Since then, selected clips have been posted on the Asia Society's China Boom Project website while the full-length videos are now deposited into the Video Archive hosted by Rutgers University Libraries. ","Old Gibbons Drive, New Brunswick, Middlesex County, New Jersey, 08901-8528, United States of America",40.4863185,-74.4308826
Chinese Railroad Workers Project,Stanford University,Stanford Library,Academic,English,"Image, Video","Oral History, Photograph, Object",Chinese Overseas,History,"Railroad Project, Chinese Americans",https://exhibits.stanford.edu/crrw,1864,1869,1864-1869,"The Project began in 2012 and is a multi-year endeavor to conduct and support research in North America and Asia in order to publish new findings in print and digital formats, support new and scholarly informed school curriculum, and participate in conferences and public events. Publications as well as additional historical material are available at the project website.","Welch Road, Stanford, Palo Alto, Santa Clara County, California, 94305-6015, United States of America",37.4374327,-122.1750247
Commonwealth Club of California records,Stanford University,Hoover Institution,Academic,English,Sound ,Speech,Politics,History,Communism ,https://digitalcollections.hoover.org/search/chinese?filter=approved%3Atrue%3BcollectionTitle%3ACommonwealth%20Club%20of%20California%20records#filters,1945,2012,1945-2012,"Dr. Friedman looks at the intersection of communism and markets, with an emphasis in China. He uses his experiences advising the Chinese government, on introducing market mechanisms into their economy, and as guests of Chinese universities. He spends some time analyzing how the Chinese experience of hyperinflation in the last days of Chiang Kai-Shek influences contemporary Chinese policies. He is pessimistic about either China or Russia successfully converting to a free society.","Welch Road, Stanford, Palo Alto, Santa Clara County, California, 94305-6015, United States of America",37.4374327,-122.1750247
"George E. Crothers Papers, 1905-1957",Stanford University,Special Collections,Academic,English,Image,Correspondence,History,Poltical History,Foreign Relations,https://searchworks.stanford.edu/view/4085333,1905,1957,1905-1957,"Correspondence (1905-1957), speeches, articles, legal documents, photographs, newsclippings and scrapbooks. Major subjects include Stanford University, Republican Party activities (1909-1930), California State Normal Schools, United States monetary policy and U.S. relations with the Republic of China (1920-1940). Correspondents include persons prominent in educational and political affairs in the U.S. as well as many leading California lawyers and educators.","Welch Road, Stanford, Palo Alto, Santa Clara County, California, 94305-6015, United States of America",37.4374327,-122.1750247
Grave Reform in Modern China: Geospatial Datasets,Stanford University,Stanford Library,Academic,Chinese,Image,"Map, Web Archive",Map,Social History,Cemetaries,https://searchworks.stanford.edu/view/12270923,1644,1911,1644-1911,"Grave Reform in Modern China is a digital humanities initiative based at Stanford that is building an interactive spatial and textual analysis platform to examine the phenomenon of grave relocation in modern China, a campaign that has led to the exhumation and reburial of 10 million corpses in the past decade alone, and has transformed China’s graveyards into sites of acute personal, social, political, and economic contestation.","Welch Road, Stanford, Palo Alto, Santa Clara County, California, 94305-6015, United States of America",37.4374327,-122.1750247
Mario Paci: An Italian Maestro in China,Stanford University,Stanford Library,Academic,Italian,Image,"Sheet Music, Letter, Photograph, Stereograph",Music,Personal Life,Mario Paci,https://exhibits.stanford.edu/paci,1918,1945,1918-1945,"This collection is related to Mario Paci, a well-known Italian pianist who lived in Shanghai for music performance and teaching for 27 years, from 1918-1945. This collection contains letters, music sheets, sterographs, archives on Shanghai Municipal Orchestra where Maro Paci worked as a conductor and photographs. ","Welch Road, Stanford, Palo Alto, Santa Clara County, California, 94305-6015, United States of America",37.4374327,-122.1750247
Political Poster,Stanford University,Hoover Institute,Academic,"Chinese, English",Image,"Poster, Transcript, Diary, Speech",Politics,Poltical History,Foreign Relations ,https://digitalcollections.hoover.org/search/chinese?filter=approved%3Atrue%3BcollectionTitle%3APoster%20collection#filters,1904,1980,1904-1980,A collection of political posters from the 20th Century China.,"Welch Road, Stanford, Palo Alto, Santa Clara County, California, 94305-6015, United States of America",37.4374327,-122.1750247
"R. Stuart Hummel Family Papers, 1860-2007 (inclusive), 1880-1976 (bulk)",Stanford University,Special Collection,Academic,English,Image,"Diary, Letter, Photograph",History,Personal  Life,"Missionary, R. Stuart Hummel",https://searchworks.stanford.edu/view/7158068,1860,2007,1860-2007,"The collection contains correspondence, diaries, photographs, artwork, audiovisual material, and ephemera documenting the Stuart and Hummel families' life and work in China as Methodist missionaries in the late nineteenth and early twentieth centuries. It also contains materials relating to R. Stuart Hummel's work as a cryptographer for the Navy and his work for the U.S. government in the Office of Chinese Affairs and the Office of Civil Defense.","Welch Road, Stanford, Palo Alto, Santa Clara County, California, 94305-6015, United States of America",37.4374327,-122.1750247
Recording Civic Action in China,Stanford University,East Asia Library,Academic,"Chinese, English",Text,Web Archive,Politics,Civil Action,"LGBTQ, Education, Health, Environment, Social Service, Immigrant Labor",https://exhibits.stanford.edu/chinese-ngos,2015,2020,2015-2020,"This is a digital collection of archived websites and social media of selected Chinese grassroots non-government organizations. Currently the collection includes complete captures of 200 NGOs in six areas since 2015--gender, environment, education, labor, rural development and health.","Welch Road, Stanford, Palo Alto, Santa Clara County, California, 94305-6015, United States of America",37.4374327,-122.1750247
"Slide and Audio Recording Collection of Michael Baker's Visit to China, 1973",Stanford University,East Asia Library,Academic,English,Sound ,Interview,History,Personal Life,Michael Baker,https://searchworks.stanford.edu/view/11085405,1973,1973,1973-1973,"Includes slides, audio cassettes, transcripts and other materials that related to Michael Baker's visit to China in 1973.","Welch Road, Stanford, Palo Alto, Santa Clara County, California, 94305-6015, United States of America",37.4374327,-122.1750247
Tibet Oral History Project,Stanford University,Special Collection,Academic,"Tibetan, English",Video,Oral History ,Ethnicity,"Culture, Personal Life",Tibet Autonomous Region,https://searchworks.stanford.edu/view/gm872vz2147,2006,2017,2006-2017,"The Tibet Oral History Project aims to preserve the history and culture of the Tibetan people by documenting the life experiences of Tibetan elders before, during, and after the incorporation of Tibet into the People's Republic of China. This collection contains 304 interviews with Tibetan refugees filmed in various locations in North America and Asia. The interviews have been translated into English and are accompanied by full-text transcripts.","Welch Road, Stanford, Palo Alto, Santa Clara County, California, 94305-6015, United States of America",37.4374327,-122.1750247
Virtual Shanghai,Stanford University,Vistual Shanghai Project,Academic,"English, Chiense",Image,"Map, Essay",History,Geography,"Shanghai, Religion",https://searchworks.stanford.edu/view/qs150bm4171,1800,2020,1800-2020,"Virtual Shanghai is a research and resource platform on the history of Shanghai from the mid-nineteenth century to nowadays. It incorporates various sets of documents: essays, original documents, photographs, maps, quantitative data, etc. The objective of the project is to write a history of the city through the combined mobilization of these various types of documents. The implementation of this approach relies on the use of digital and GIS technologies. On the research side, the platform offers various ways to step into the history of the city and follow its course at different levels over time. On the resource side, apart from providing original textual and visual documents, it develops a powerful cartographic tool for spatial analysis and real-time mapping.","Welch Road, Stanford, Palo Alto, Santa Clara County, California, 94305-6015, United States of America",37.4374327,-122.1750247
Wang Jingwei and Lin Baisheng Photograph Collection,Stanford University,East Asia Library,Academic,,Image,Photograph,History,Poltical History," Countryside, RNG ",https://exhibits.stanford.edu/wangjingwei,1940,1945,1940-1945,"The majority of these images date from the period of the RNG (1940-1945). Many have as their subject Wang Jingwei himself, often at events or activities in which Lin's Ministry of Publicity played a key role. These include official visits by Wang (and Lin) to Japan and Manchuria; 'rural pacification' inspection tours, during which Wang toured the countryside to assess the progress made in anti-Resistance campaigns led by his government; Wang's meetings with members of the Axis diplomatic corps in Nanjing, and with leading Japanese officials in the occupation forces; visits by Wang and Lin to important ritual sites for the RNG, such as the Sun Yat-sen Mausoleum in Nanjing; and parades by the RNG military, youth groups, and community associations.","Welch Road, Stanford, Palo Alto, Santa Clara County, California, 94305-6015, United States of America",37.4374327,-122.1750247
Daghlian Collection of Asia Art,The City University of New York,Queens College,Public,,Image,Object,Art,Decorative Art,Pottery,https://library.artstor.org/#/collection/87731773,-206,907,206 BC-907,"The Daghlian Collection of Asian Art is a teaching collection that contains Chinese pottery and artifacts and Japanese textiles. Donated to CUNY by collector William Daghlian in 2012, it is currently housed at Queens College.","65-30 Kissena Blvd, Flushing, NY 11367",40.7366437,-73.8222781
"Francis E. Stafford photographs, 1909-1933",Stanford University,Stanford University,Academic,English,Image,"Photograph, Letter",History,Religion,Missionary ,https://searchworks.stanford.edu/view/9615156,1909,1933,1909-1933,"Stafford was an American missionary in China from 1909 to 1915 and 1932 to 1933. A lithographer and photographer, he arrived in Shanghai in 1909 and was hired by the Commercial Press-then Asia's largest publishing company--to manage its printing division from 1909 to 1915. During the onset of the Wuchang Uprising in October 1911, Stafford was on hand to capture remarkable photos of the Qing Dynasty's collapse.","Welch Road, Stanford, Palo Alto, Santa Clara County, California, 94305-6015, United States of America",37.4374327,-122.1750247
Ancient Chinese art : the Ernest Erickson collection in the Metropolitan Museum of Art,The Metropolitan Museum of Art,Watson Library,Museum,English,Image ,"Photograph, Book",Art,Decorative Art,Aesthetic Tradition ,https://libmma.contentdm.oclc.org/digital/collection/p15324coll10/id/35239,401,1600,401-1600,"The Erickson Collection contains works of outstanding quality that range through different media and across the whole span of ancient China, from the Neolithic to the T'and period. Ernest Erickson, through his collection, has created a vital memorial that fills in gaps in the Museum's existing holdings. We are honored and privileged to help present this wonderful gift, commemorated by this catalogue.","1000 5th Ave, New York, NY 10028",40.7790515,-73.9655773
Chinese Experience in Canada,University of Alberta,Bruce Peel Special Collections,Academic,"Chinese, English",Image,"Newspaper, Photograph, Correspondence ",Chinese Overseas,Personal Life,Canada,https://bpsc.library.ualberta.ca/collections/chinese-experience-in-canada,1906,2015,1906-2015,"This collection offers an expansive view of the experiences of Chinese immigrants to Canada, particularly in the Prairie Provinces. This collection explores the Chinese experience through immigration, entrepreneurship, schooling, and other elements of daily life. Among other things, it is made up of photographs, scrapbooks, business documents, personal correspondence, immigration records, magazines, books, phonograph records, and event programs.","112 Street NW, Garneau, Greater Strathcona, Edmonton, Edmonton (city), Alberta, T6G 0T5, Canada",53.5180577,-113.5207804
Hightower Collection of Chinese Books,University of Alberta,University of Alberta Library,Academic,Chinese ,Image,Rare Book,Literature,History,Philosophy ,https://bpsc.library.ualberta.ca/collections/hightower-collection-of-chinese-books,1641,2020,1641-2020,"Amongst many other subjects, this material includes anthologies of various literary periods, literary criticism, and the complete works of famous prose writers, poets, and novelists. To find these books in the library catalogue, search the phrase ""collection of J. R. Hightower.""","112 Street NW, Garneau, Greater Strathcona, Edmonton, Edmonton (city), Alberta, T6G 0T5, Canada",53.5180577,-113.5207804
The Promise of Gold Mountain Tucson's Chinese Heritage,University of Arizona,Through Our Parents' Eyes Community,Academic,English,"Text, Image",Biography,Chinese Overseas,Person Life,"Arizona, Biography",https://parentseyes.arizona.edu/promise,1875,1950,1875-1950,"From the immigrant railroad workers of the late 1800's to the civic leaders of today, Chinese-Americans have consistently contributed their energy, talent and culture to enrich the Tucson community. Using text and photographs, this exhibit traces the history of Chinese-Americans in Tucson, including short biographies of some prominent members of Tucson's Chinese-American community.","North Granada Avenue, Barrio Anita, Tucson, Pima County, Arizona, 85703, United States of America",32.2291691,-110.9780311
Chinese Canadian Stories,University of British Columbia,"Original materials are from UBC Library, SFU Library, City of Vancouver Archives, Community Historical Recognition Program",Academic,English,"Image, Sound, Video","Photograph, Diary, Correspondence, Interview",Chinese Overseas,"History, Personal Life",Chinese Canadian,https://open.library.ubc.ca/collections/chinesecanadianstories,1900,2012,1900-2012,"The collections contain digitized photographs, audio/video recordings, manuscripts (including correspondence and diaries), and organizational documents. The collection consists of 10 sub-collections and fonds: Chinese Canadian Military Museum Society, Chock On Fong Fonds, Gorsebrook Research Institute for Atlantic Studies, Henry Lock-tin Lee, Initiative for Student TEaching and Research in Chinese Canadian Studies, Kamloops Chinese Cultural Association, Louie Papers, Norman Kwong Collection, Ron Bick Lee Fonds, Wah Shun Company ","West 16th Avenue, University of British Columbia, Electoral Area A, Metro Vancouver Regional District, British Columbia, V6T 1Z4, Canada",49.253001,-123.2445354
Chinese Rare Books,University of British Columbia,Rare Books and Special Collections,Academic,Chinese,Image,Rare Book,Literature,History,"Record, Census ",https://open.library.ubc.ca/collections/chineserare,1367,1959,1367-1959,"A collection of rare Chinese books from the UBC Asian Library collection composed mainly of works from the Puban and Pang Jingtang.
The focus of the Nanzhou was primarily census and historical records, documents and literature of Xu?s native province. Some of these works are unique, original copies drawn from the Nanzhou materials that were transferred from the Mainland to the Yao (?) Family in Macau during World War II. The Pang Jingtang, acquired in 2000, is much smaller than the Puban with 94 titles and 841 volumes and includes works produced prior to 1796 including many Ming editions and a few manuscripts that may be sole existing copies.","West 16th Avenue, University of British Columbia, Electoral Area A, Metro Vancouver Regional District, British Columbia, V6T 1Z4, Canada",49.253001,-123.2445354
Li Desheng Cigarette Card collection,University of British Columbia,SLAIS student digitization and community project,Academic,,Image,Drawing ,Art,"History, Economic History ","Cigarette Card, Career",https://asian.library.ubc.ca/news/2014/01/10/360-jobs-from-cigarette-cards/,1885,1950,1885-1950,"“360 jobs” is a collective name used by people in general to refer to all types of jobs in the traditional handicraft industry and occupations in old China. They include jobs relating to clothing, food, accommodation, transportation, entertainment and even street hawking and hundreds of manual laboring jobs of all kinds. This exhibition mainly showcases Desheng Li’s personal collection and copies of cigarette cards that featured the activities of folks from all walks of life in old China.",,,
Wallace B. Chung and Madeline H. Chung Collection,University of British Columbia,Rare Books and Special Collections,Academic,"English, Chinese",Image,"Document, Book, Object, Photograph",Chinese Overseas,Immigration ,Chinese Canadian ,https://collections.library.ubc.ca/featured-collections/chung-collection/,1800,2020,1800-2020,"It is an outstanding collection of archival documents, photographs, books and artifacts related to three broad themes: British Columbia History, Immigration and Settlement and the Canadian Pacific Railway Company. Donated in 1999 by Drs. Wallace and Madeline Chung, the Chung Collection is held at UBC Library?s Rare Books and Special Collections.","West 16th Avenue, University of British Columbia, Electoral Area A, Metro Vancouver Regional District, British Columbia, V6T 1Z4, Canada",49.253001,-123.2445354
Yip Sang Collection,University of British Columbia,UBC Library,Academic,"Chinese, English ",Image,Letter,Chinese Overseas,Personal Life,Chinese American,https://open.library.ubc.ca/collections/yipsang,1901,1919,1901-1919,"The Yip family in Vancouver began with Yip Sang's arrival in B.C. in 1881. Yip Sang, whose real name was Yip Chun Tien (along with two other Chinese names, Yip Loy Yiu and Yip Lin Sang), was born in China in 1845. In 1864, he left his home village, Shengtang Cun, Duhu County in Guangdong province, to travel to San Francisco, where he worked as a dishwasher, cook, cigar maker, and labourer in the goldfields.

Eventually he left for B.C., and in 1881, after first looking for gold in the north, settled in Vancouver and found work as a pedlar, selling sacks of coal door to door. In 1882, he was employed by the Canadian Pacific Railroad Supply Company, where he worked as a bookkeeper, timekeeper, paymaster and then as the Chinese superintendent. In 1885, Yip Sang left the company and returned to China. In 1888, he returned to Vancouver and established the import and export firm of Wing Sang Company.

During his lifetime, Yip Sang had four wives and a total of twenty-three children. He became a naturalized British subject in 1891. Yip Sang was one of the driving forces in the establishment of the Chinese Benevolent Association, the Chinese School and the Chinese Hospital (now Mount St. Joseph's) in Vancouver. He was a lifetime governor of Vancouver General Hospital, and was also a benefactor of the Public Hospital in Guangdong province in China. He died in 1927.","West 16th Avenue, University of British Columbia, Electoral Area A, Metro Vancouver Regional District, British Columbia, V6T 1Z4, Canada",49.253001,-123.2445354
Ann Tompkins (Tang Fandi) and Lincoln Cushing Chinese Poster Collection,"University of California, Berkeley",East Asian Library,Academic,Chinese  ,Image,"Poster, Drawing ",Politics,Culture,Vietnam War,http://www.docspopuli.org/ChinaWebCat/gallery-01.html,1960,1970,1960-1970,"A collection of political posters from China's Cultural Revolution, spanning from 1960 to 1970. ","Alameda County, California, 94720-1076, United States of America",37.8735334,-122.2626667
